id,cohort,tray,row,col,genotype,generation
1348,1,1,A,1,5865,parent
814,1,1,A,2,6965x9412 rep1,F8
25,1,1,A,3,1063x1435 rep1,F8
760,1,1,A,4,6252x6202 rep1,F8
202,1,1,A,5,6025x6046 rep2,F8
1000,1,1,A,6,9323x8369 rep1,F8
1030,1,1,B,1,9353x6109 rep1,F8
1843,1,1,B,2,9391,parent
1045,1,1,B,3,9369x9434 rep1,F8
775,1,1,B,4,6258x1257 rep2,F8
1792,1,1,B,5,9332,parent
43,1,1,B,6,1158x6092 rep1,F8
583,1,1,C,1,6173x9383 rep1,F8
1027,1,1,C,2,9352x8422 rep2,F8
268,1,1,C,3,6064x9404 rep2,F8
835,1,1,C,4,7517x6284 rep2,F8
1006,1,1,C,5,9332x6413 rep1,F8
592,1,1,C,6,6177x6023 rep2,F8
181,1,1,D,1,6021x9407 rep2,F8
388,1,1,D,2,6109x9343 rep1,F8
1645,1,1,D,3,6220,parent
7,1,1,D,4,1002x6244 rep1,F8
319,1,1,D,5,6088x9386 rep2,F8
1807,1,1,D,6,9353,parent
1912,1,1,E,1,9454,parent
1882,1,1,E,2,9416,parent
1165,1,1,E,3,9413x8423 rep2,F8
271,1,1,E,4,6069x9470 rep1,F8
430,1,1,E,5,6125x6099 rep2,F8
1375,1,1,E,6,6023,parent
127,1,1,F,1,5856x9452 rep1,F8
382,1,1,F,2,6107x6128 rep2,F8
1024,1,1,F,3,9352x8422 rep1,F8
886,1,1,F,4,8242x6171 rep1,F8
76,1,1,F,5,1367x8256 rep2,F8
1555,1,1,F,6,6149,parent
1915,1,1,G,1,9455,parent
1870,1,1,G,2,9408,parent
493,1,1,G,3,6138x6122 rep1,F8
82,1,1,G,4,1435x6240 rep2,F8
55,1,1,G,5,1257x8334 rep1,F8
1159,1,1,G,6,9412x6024 rep2,F8
1636,1,1,H,1,6216,parent
997,1,1,H,2,9321x6189 rep2,F8
976,1,1,H,3,8426x6193 rep1,F8
190,1,1,H,4,6024x1367 rep2,F8
1489,1,1,H,5,6112,parent
235,1,1,H,6,6039x5835 rep1,F8
922,1,2,A,1,8307x9481 rep1,F8
484,1,2,A,2,6136x6064 rep2,F8
631,1,2,A,3,6193x9394 rep1,F8
196,1,2,A,4,6024x6124 rep2,F8
1687,1,2,A,5,6413,parent
1273,1,2,A,6,992x9332 rep2,F8
322,1,2,B,1,6090x9416 rep1,F8
1153,1,2,B,2,9409x6104 rep2,F8
1237,1,2,B,3,9455x9371 rep2,F8
316,1,2,B,4,6088x9386 rep1,F8
1279,1,2,B,5,997x8307 rep2,F8
1819,1,2,B,6,9371,parent
376,1,2,C,1,6106x6071 rep2,F8
214,1,2,C,2,6034x6231 rep2,F8
664,1,2,C,3,6201x9399 rep2,F8
1900,1,2,C,4,9450,parent
115,1,2,C,5,5831x8237 rep1,F8
1672,1,2,C,6,6252,parent
619,1,2,D,1,6192x1062 rep1,F8
649,1,2,D,2,6197x6127 rep1,F8
61,1,2,D,3,1317x6276 rep1,F8
514,1,2,D,4,6145x8247 rep2,F8
1906,1,2,D,5,9452,parent
1885,1,2,D,6,9421,parent
919,1,2,E,1,8283x9471 rep2,F8
1324,1,2,E,2,1552,parent
1243,1,2,E,3,9470x6107 rep2,F8
691,1,2,E,4,6216x6258 rep1,F8
1396,1,2,E,5,6038,parent
217,1,2,E,6,6035x9433 rep1,F8
1246,1,2,F,1,9471x9450 rep1,F8
1399,1,2,F,2,6039,parent
1717,1,2,F,3,8230,parent
1774,1,2,F,4,8423,parent
826,1,2,F,5,6974x6198 rep1,F8
1195,1,2,F,6,9434x6177 rep2,F8
640,1,2,G,1,6194x1061 rep2,F8
340,1,2,G,2,6097x1318 rep1,F8
1606,1,2,G,3,6193,parent
520,1,2,G,4,6148x6138 rep2,F8
1306,1,2,G,5,1257,parent
28,1,2,G,6,1063x1435 rep2,F8
1528,1,2,H,1,6133,parent
1378,1,2,H,2,6024,parent
682,1,2,H,3,6209x6151 rep2,F8
1669,1,2,H,4,6244,parent
499,1,2,H,5,6140x9388 rep1,F8
1390,1,2,H,6,6035,parent
1129,1,3,A,1,9404x9390 rep2,F8
1513,1,3,A,2,6126,parent
808,1,3,A,3,6918x9323 rep1,F8
112,1,3,A,4,5830x6085 rep2,F8
1087,1,3,A,5,9390x8283 rep2,F8
436,1,3,A,6,6126x6172 rep2,F8
733,1,3,B,1,6238x6105 rep2,F8
364,1,3,B,2,6104x6034 rep2,F8
1342,1,3,B,3,5835,parent
424,1,3,B,4,6124x6184 rep2,F8
1117,1,3,B,5,9399x6097 rep2,F8
871,1,3,B,6,8237x6194 rep2,F8
205,1,3,C,1,6030x992 rep1,F8
1609,1,3,C,2,6194,parent
10,1,3,C,3,1002x6244 rep2,F8
1654,1,3,C,4,6237,parent
409,1,3,C,5,6115x1585 rep2,F8
1147,1,3,C,6,9408x9352 rep2,F8
130,1,3,D,1,5856x9452 rep2,F8
118,1,3,D,2,5831x8237 rep2,F8
1519,1,3,D,3,6128,parent
1498,1,3,D,4,6115,parent
1510,1,3,D,5,6125,parent
892,1,3,D,6,8247x6154 rep1,F8
1846,1,3,E,1,9392,parent
1054,1,3,E,2,9380x1063 rep1,F8
898,1,3,E,3,8256x8376 rep1,F8
1021,1,3,E,4,9343x8259 rep2,F8
163,1,3,E,5,6017x9392 rep2,F8
1123,1,3,E,6,9402x6169 rep2,F8
907,1,3,F,1,8258x6115 rep2,F8
1840,1,3,F,2,9390,parent
1933,1,3,F,3,992,parent
91,1,3,F,4,1585x9427 rep1,F8
574,1,3,F,5,6171x6074 rep2,F8
1936,1,3,F,6,997,parent
856,1,3,G,1,8230x6195 rep1,F8
1075,1,3,G,2,9386x6171 rep2,F8
616,1,3,G,3,6191x6965 rep2,F8
1798,1,3,G,4,9339,parent
1573,1,3,G,5,6166,parent
1258,1,3,G,6,9481x9399 rep1,F8
877,1,3,H,1,8240x6036 rep2,F8
1666,1,3,H,2,6243,parent
1447,1,3,H,3,6092,parent
79,1,3,H,4,1435x6240 rep1,F8
103,1,3,H,5,5829x9336 rep1,F8
1072,1,3,H,6,9386x6171 rep1,F8
1864,1,4,A,1,9405,parent
799,1,4,A,2,6913x6149 rep2,F8
553,1,4,A,3,6163x9405 rep1,F8
853,1,4,A,4,8227x6216 rep2,F8
1876,1,4,A,5,9412,parent
1771,1,4,A,6,8422,parent
256,1,4,B,1,6043x9453 rep2,F8
1549,1,4,B,2,6145,parent
925,1,4,B,3,8307x9481 rep2,F8
1360,1,4,B,4,6013,parent
1114,1,4,B,5,9399x6097 rep1,F8
229,1,4,B,6,6036x6203 rep1,F8
295,1,4,C,1,6074x9421 rep2,F8
454,1,4,C,2,6131x6113 rep2,F8
1096,1,4,C,3,9391x9353 rep1,F8
1633,1,4,C,4,6210,parent
1051,1,4,C,5,9371x6021 rep2,F8
715,1,4,C,6,6221x9455 rep1,F8
1453,1,4,D,1,6097,parent
946,1,4,D,2,8376x6201 rep1,F8
1888,1,4,D,3,9427,parent
1534,1,4,D,4,6136,parent
241,1,4,D,5,6040x6041 rep1,F8
1699,1,4,D,6,6965,parent
1546,1,4,E,1,6142,parent
34,1,4,E,2,1137x1074 rep2,F8
70,1,4,E,3,1318x6035 rep2,F8
1720,1,4,E,4,8231,parent
1627,1,4,E,5,6203,parent
622,1,4,E,6,6192x1062 rep2,F8
652,1,4,F,1,6197x6127 rep2,F8
1003,1,4,F,2,9323x8369 rep2,F8
1423,1,4,F,3,6071,parent
1486,1,4,F,4,6111,parent
1276,1,4,F,5,997x8307 rep1,F8
1621,1,4,F,6,6201,parent
1810,1,4,G,1,9356,parent
1414,1,4,G,2,6064,parent
736,1,4,G,3,6240x5831 rep1,F8
1318,1,4,G,4,1367,parent
1795,1,4,G,5,9336,parent
94,1,4,G,6,1585x9427 rep2,F8
1300,1,4,H,1,1158,parent
421,1,4,H,2,6124x6184 rep1,F8
727,1,4,H,3,6237x6090 rep2,F8
19,1,4,H,4,1062x6108 rep1,F8
226,1,4,H,5,6036x1318 rep2,F8
1594,1,4,H,6,6184,parent
829,1,5,A,1,6974x6198 rep2,F8
1102,1,5,A,2,9392x6073 rep1,F8
262,1,5,A,3,6046x6191 rep2,F8
1471,1,5,A,4,6105,parent
1579,1,5,A,5,6171,parent
442,1,5,A,6,6127x6918 rep2,F8
